,dataset,num_kernels,accuracy_mean,accuracy_std
398,Strawberry,1000,0.9732432432432434,0.005465877950312629
399,Strawberry,2500,0.9786486486486486,0.0039072519715678405
400,Strawberry,5000,0.9797297297297296,0.001813028089864676
401,Strawberry,10000,0.981891891891892,0.001730574118225118
402,SwedishLeaf,100,0.91952,0.006637589924061276
403,SwedishLeaf,500,0.9521600000000001,0.006048338614859457
404,SwedishLeaf,1000,0.9592,0.0021762352813976637
405,SwedishLeaf,2500,0.9625600000000001,0.0024992798962901355
406,SwedishLeaf,5000,0.96592,0.00160798009937936
407,SwedishLeaf,10000,0.9651200000000001,0.0021226398658274596
408,Symbols,100,0.9736683417085427,0.0037008950029189963
409,Symbols,500,0.9743718592964825,0.0022133382457834266
410,Symbols,1000,0.9751758793969849,0.0028086811281371068
411,Symbols,2500,0.9736683417085427,0.0007520919370400081
412,Symbols,5000,0.9744723618090452,0.001024928545445813
413,Symbols,10000,0.9740703517587941,0.0006030150753769004
414,SyntheticControl,100,0.9846666666666666,0.007774602526460407
415,SyntheticControl,500,0.9923333333333334,0.00472581562625262
416,SyntheticControl,1000,0.9940000000000001,0.0035901098714230177
417,SyntheticControl,2500,0.9966666666666665,0.0025819888974716277
418,SyntheticControl,5000,0.9986666666666666,0.0016329931618554352
419,SyntheticControl,10000,0.9976666666666667,0.0026034165586355617
420,ToeSegmentation1,100,0.9491228070175438,0.013475694294506332
421,ToeSegmentation1,500,0.9644736842105264,0.0060297048617840195
422,ToeSegmentation1,1000,0.9675438596491228,0.0052631578947368585
423,ToeSegmentation1,2500,0.9653508771929824,0.004137711022831857
424,ToeSegmentation1,5000,0.9631578947368423,0.004472824134730527
425,ToeSegmentation1,10000,0.9570175438596491,0.003282155602433292
426,ToeSegmentation2,100,0.9123076923076925,0.019520888523768487
427,ToeSegmentation2,500,0.9153846153846155,0.018203322409537287
428,ToeSegmentation2,1000,0.9246153846153847,0.011817147304413243
429,ToeSegmentation2,2500,0.9223076923076924,0.00638971066378316
430,ToeSegmentation2,5000,0.9230769230769231,0.006880209161537827
431,ToeSegmentation2,10000,0.9215384615384616,0.004615384615384644
432,Trace,100,1.0,0.0
433,Trace,500,1.0,0.0
434,Trace,1000,1.0,0.0
435,Trace,2500,1.0,0.0
436,Trace,5000,1.0,0.0
437,Trace,10000,1.0,0.0
438,TwoLeadECG,100,0.9985952589991219,0.0009776583604617964
439,TwoLeadECG,500,0.9991220368744512,0.0
440,TwoLeadECG,1000,0.9991220368744512,0.0
441,TwoLeadECG,2500,0.9991220368744512,0.0
442,TwoLeadECG,5000,0.9991220368744512,0.0
443,TwoLeadECG,10000,0.9991220368744512,0.0
444,TwoPatterns,100,0.997325,0.0016622650209879505
445,TwoPatterns,500,1.0,0.0
446,TwoPatterns,1000,1.0,0.0
447,TwoPatterns,2500,1.0,0.0
448,TwoPatterns,5000,1.0,0.0
449,TwoPatterns,10000,1.0,0.0
450,UWaveGestureLibraryAll,100,0.9286152987158012,0.008597505864719052
451,UWaveGestureLibraryAll,500,0.9632886655499722,0.002174151588211897
452,UWaveGestureLibraryAll,1000,0.9681183696259075,0.0024586308047240663
453,UWaveGestureLibraryAll,2500,0.9735064209938582,0.0011608387987879151
454,UWaveGestureLibraryAll,5000,0.9746231155778895,0.0008323870193118911
455,UWaveGestureLibraryAll,10000,0.9756839754327192,0.0006775355164439652
456,UWaveGestureLibraryX,100,0.8105248464544947,0.006963745836911805
457,UWaveGestureLibraryX,500,0.8358458961474037,0.004793339147143436
458,UWaveGestureLibraryX,1000,0.8463707426018985,0.003866429014268634
