,dataset,feature_type,accuracy_mean,accuracy_std
207,SyntheticControl,both (default),0.999,0.001527525231651931
208,SyntheticControl,ppv_only,0.968,0.004268749491621892
209,SyntheticControl,max_only,0.999,0.001527525231651931
210,ToeSegmentation1,both (default),0.9592105263157895,0.0034255481034678415
211,ToeSegmentation1,ppv_only,0.9561403508771932,0.0019614631381577167
212,ToeSegmentation1,max_only,0.9460526315789475,0.00280838782343542
213,ToeSegmentation2,both (default),0.923846153846154,0.006389710663783156
214,ToeSegmentation2,ppv_only,0.9215384615384616,0.007536891516255954
215,ToeSegmentation2,max_only,0.9,0.009730085108210407
216,Trace,both (default),1.0,0.0
217,Trace,ppv_only,1.0,0.0
218,Trace,max_only,1.0,0.0
219,TwoLeadECG,both (default),0.9991220368744512,0.0
220,TwoLeadECG,ppv_only,0.9983318700614573,0.00026338893766459927
221,TwoLeadECG,max_only,1.0,0.0
222,TwoPatterns,both (default),1.0,0.0
223,TwoPatterns,ppv_only,0.9996,0.00020000000000001681
224,TwoPatterns,max_only,1.0,0.0
225,UWaveGestureLibraryAll,both (default),0.9761585706309324,0.001008122282817837
226,UWaveGestureLibraryAll,ppv_only,0.9710496929089892,0.0011847624329381992
227,UWaveGestureLibraryAll,max_only,0.9719430485762144,0.0010612271249999048
228,UWaveGestureLibraryX,both (default),0.8545226130653267,0.0020982643689685812
229,UWaveGestureLibraryX,ppv_only,0.8448352875488554,0.0029354415249793248
230,UWaveGestureLibraryX,max_only,0.8223338916806254,0.001159159100615676
231,UWaveGestureLibraryY,both (default),0.7792294807370184,0.002397644952940667
232,UWaveGestureLibraryY,ppv_only,0.7763539921831379,0.002079609443491208
233,UWaveGestureLibraryY,max_only,0.7210217755443886,0.0024049476889203523
234,UWaveGestureLibraryZ,both (default),0.7947794528196539,0.0019198136512511652
235,UWaveGestureLibraryZ,ppv_only,0.7915968732551646,0.0022961926314883667
236,UWaveGestureLibraryZ,max_only,0.7474036850921273,0.002225698651925692
237,Wafer,both (default),0.9982316677482155,0.00030307497878438516
238,Wafer,ppv_only,0.9966417910447761,0.0007436188602443679
239,Wafer,max_only,0.9987021414665801,0.00039070715700170754
240,Wine,both (default),0.7944444444444445,0.02677191165703881
241,Wine,ppv_only,0.8814814814814813,0.012283795519834795
242,Wine,max_only,0.7370370370370369,0.013857990321384982
243,WordSynonyms,both (default),0.7528213166144201,0.0043238602583491135
244,WordSynonyms,ppv_only,0.7598746081504703,0.004366265917612571
245,WordSynonyms,max_only,0.6989028213166144,0.005799373040752353
246,Worms,both (default),0.7233766233766235,0.008315745762899807
247,Worms,ppv_only,0.7207792207792207,0.01451992193181682
248,Worms,max_only,0.6961038961038961,0.010389610389610393
249,WormsTwoClass,both (default),0.8012987012987013,0.018412268673711468
250,WormsTwoClass,ppv_only,0.7675324675324676,0.02494723728869942
251,WormsTwoClass,max_only,0.7792207792207793,0.008213708208229559
252,Yoga,both (default),0.9110666666666667,0.0029166190472303226
253,Yoga,ppv_only,0.8990666666666666,0.003379020239326426
254,Yoga,max_only,0.8943,0.003661966684720109
