,dataset,variant,accuracy_mean,accuracy_std
238,Wafer,no_padding,0.9985885788449058,0.00021826125968645832
239,Wafer,always_padding,0.9976476314081767,0.0003498354745757119
240,Wine,random_padding (default),0.8185185185185185,0.027216552697590872
241,Wine,no_padding,0.8407407407407408,0.014814814814814812
242,Wine,always_padding,0.7833333333333333,0.026254531256958924
243,WordSynonyms,random_padding (default),0.7489028213166145,0.0030392977162484684
244,WordSynonyms,no_padding,0.7454545454545455,0.004099278003329798
245,WordSynonyms,always_padding,0.7482758620689656,0.004388714733542307
246,Worms,random_padding (default),0.7285714285714286,0.006993720528746112
247,Worms,no_padding,0.7246753246753247,0.009718590614997254
248,Worms,always_padding,0.7272727272727273,0.01005969700313615
249,WormsTwoClass,random_padding (default),0.8064935064935066,0.014750411287792923
250,WormsTwoClass,no_padding,0.7467532467532466,0.010470464608179937
251,WormsTwoClass,always_padding,0.8090909090909092,0.008315745762899807
252,Yoga,random_padding (default),0.9091666666666667,0.003439153642653641
253,Yoga,no_padding,0.9078666666666667,0.002741451359326945
254,Yoga,always_padding,0.9085333333333333,0.0033306655991458154
