,dataset,run,threshold,accuracy,num_features_kept,num_features_total,fraction_kept,classifier_train_time
242,InlineSkate,0,threshold=0.001,0.4709090909090909,15319,20000,0.76595,0.02059900003951043
243,InlineSkate,0,threshold=0.01,0.4290909090909091,9561,20000,0.47805,0.014192899980116636
244,InsectEPGRegularTrain,0,no_selection (baseline),1.0,20000,20000,1.0,0.016127799986861646
245,InsectEPGRegularTrain,0,threshold=0.0,1.0,16376,20000,0.8188,0.015664200007449836
246,InsectEPGRegularTrain,0,threshold=0.001,1.0,11497,20000,0.57485,0.009753799997270107
247,InsectEPGRegularTrain,0,threshold=0.01,1.0,6419,20000,0.32095,0.006733600050210953
248,InsectEPGSmallTrain,0,no_selection (baseline),1.0,20000,20000,1.0,0.005929199978709221
249,InsectEPGSmallTrain,0,threshold=0.0,1.0,16152,20000,0.8076,0.007191399985458702
250,InsectEPGSmallTrain,0,threshold=0.001,1.0,11439,20000,0.57195,0.005485900037456304
251,InsectEPGSmallTrain,0,threshold=0.01,1.0,6407,20000,0.32035,0.003276799980085343
252,InsectWingbeatSound,0,no_selection (baseline),0.6707070707070707,20000,20000,1.0,0.06508640001993626
253,InsectWingbeatSound,0,threshold=0.0,0.6707070707070707,19999,20000,0.99995,0.07313689996954054
254,InsectWingbeatSound,0,threshold=0.001,0.6747474747474748,18758,20000,0.9379,0.06887840002309531
255,InsectWingbeatSound,0,threshold=0.01,0.651010101010101,11627,20000,0.58135,0.04477819998282939
256,ItalyPowerDemand,0,no_selection (baseline),0.9698736637512148,20000,20000,1.0,0.017218500026501715
257,ItalyPowerDemand,0,threshold=0.0,0.9698736637512148,19992,20000,0.9996,0.016276000009384006
258,ItalyPowerDemand,0,threshold=0.001,0.9698736637512148,19964,20000,0.9982,0.016402600042056292
259,ItalyPowerDemand,0,threshold=0.01,0.9698736637512148,12649,20000,0.63245,0.011732700048014522
260,LargeKitchenAppliances,0,no_selection (baseline),0.896,20000,20000,1.0,0.14947469998151064
261,LargeKitchenAppliances,0,threshold=0.0,0.896,20000,20000,1.0,0.16596369998296723
262,LargeKitchenAppliances,0,threshold=0.001,0.896,18857,20000,0.94285,0.16305959998862818
263,LargeKitchenAppliances,0,threshold=0.01,0.864,11109,20000,0.55545,0.10071919998154044
264,Lightning2,0,no_selection (baseline),0.7868852459016393,20000,20000,1.0,0.015604600019287318
265,Lightning2,0,threshold=0.0,0.7868852459016393,19996,20000,0.9998,0.018046599987428635
266,Lightning2,0,threshold=0.001,0.7704918032786885,18527,20000,0.92635,0.01743119995808229
267,Lightning2,0,threshold=0.01,0.7049180327868853,11331,20000,0.56655,0.010647499992046505
268,Lightning7,0,no_selection (baseline),0.8356164383561644,20000,20000,1.0,0.018308600003365427
269,Lightning7,0,threshold=0.0,0.8356164383561644,19999,20000,0.99995,0.020977500011213124
270,Lightning7,0,threshold=0.001,0.821917808219178,19355,20000,0.96775,0.020137599960435182
